source_file_name,source_row_number,street,from,to
G_P Schedule as of 1-5-2017.pdf,1,NE 122nd Ave, Stanton,Halsey
G_P Schedule as of 1-5-2017.pdf,2,NE 102nd Ave, Burnside St,Weidler St
G_P Schedule as of 1-5-2017.pdf,3,SE 17th Ave, Andover Pl,Clatsop St
G_P Schedule as of 1-5-2017.pdf,4,SE Clinton St, 21st Ave,26th Ave
G_P Schedule as of 1-5-2017.pdf,5,SW Jefferson St, 841'W of 20th Ave (N side),Park Ave (W leg)
G_P Schedule as of 1-5-2017.pdf,6,SW Morrison St, 18th Ave,11th Ave
G_P Schedule as of 1-5-2017.pdf,7,SW Arthur St, 3rd Ave,241'E of 1st Ave
G_P Schedule as of 1-5-2017.pdf,8,SW Caruthers St, 6th Ave,3rd Ave
G_P Schedule as of 1-5-2017.pdf,9,SE 46th Ave, Glenwood St,Woodstock Blvd
G_P Schedule as of 1-5-2017.pdf,10,SE Sandy Blvd, Stark St,Burnside St
G_P Schedule as of 1-5-2017.pdf,11,N Greeley Ave, Interstate Ave,Lombard St
G_P Schedule as of 1-5-2017.pdf,12,SW Beaverton-Hillsdale Hwy, 21st/Bertha Ct,39th
G_P Schedule as of 1-5-2017.pdf,13,N Columbia Blvd, Peninsular Ave,Interstate Pl. ***shortened
G_P Schedule as of 1-5-2017.pdf,14,SW Washington St, 9th Ave,1st Ave
G_P Schedule as of 1-5-2017.pdf,15,NW Glisan St, 11th Ave,Broadway
G_P Schedule as of 1-5-2017.pdf,18,NW 21st Ave, Marshall St,Thurman Ramp
G_P Schedule as of 1-5-2017.pdf,19,NW 14th Ave, Burnside St,Northrup St
G_P Schedule as of 1-5-2017.pdf,20,NW 21st Ave, Vaughn St,Sherlock Ave
G_P Schedule as of 1-5-2017.pdf,21,NE 57th Ave, Halsey St,Fremont St
G_P Schedule as of 1-5-2017.pdf,22,N Rosa Parks Way, Willamette Blvd,Delaware Ave
G_P Schedule as of 1-5-2017.pdf,23,N Rosa Parks Way, Interstate Ave,Williams Ave
G_P Schedule as of 1-5-2017.pdf,24,SE Tolman St, Bybee Blvd,118'E of 36th Ave
G_P Schedule as of 1-5-2017.pdf,25,N Williams Ave, Beech St,Jessup St
G_P Schedule as of 1-5-2017.pdf,26,SE Harold St, 52nd Ave,Foster Rd
G_P Schedule as of 1-5-2017.pdf,27,SE Harold St, 92nd Ave,96th Ave
G_P Schedule as of 1-5-2017.pdf,28,SE Cesar Chavez blvd, Holgate Blvd,Burnside St
G_P Schedule as of 1-5-2017.pdf,29,N Willamette Blvd, 1041'W of Macrum Ave,Wall Ave
G_P Schedule as of 1-5-2017.pdf,30,N Albina, Prescott St,Ainsworth St
G_P Schedule as of 1-5-2017.pdf,31,SE 27th Ave, Crystal Springs Blvd,Bybee Blvd
G_P Schedule as of 1-5-2017.pdf,32,N Killingsworth St, Borthwick Ave,Williams Ave
G_P Schedule as of 1-5-2017.pdf,33,N St. Louis Ave, Ivanhoe St,Pier Park Pl
G_P Schedule as of 1-5-2017.pdf,34,NW Thurman St, 26th Ave,15th Ave
Pavement Moratorium.csv,3,Ne 52Nd Ave,Clackamas St,Halsey St
Pavement Moratorium.csv,4,W Burnside St ,325' E Of Maywood Dr,503' E Of Maywood Rd
Pavement Moratorium.csv,5,W Burnside St ,Macleay Blvd,Maywood Dr
Pavement Moratorium.csv,7,Ne 9Th Ave ,Halsey St,Broadway
Pavement Moratorium.csv,8,Nw Glisan St - ,13Th Ave,11Th Ave
Pavement Moratorium.csv,9,Nw Thurman St,Gordon St,31St Ave
Pavement Moratorium.csv,10,Nw 16Th Ave,Lovejoy,Thurman St
Pavement Moratorium.csv,11,Sw Pine St,4Th Ave,Naito Pkwy
Pavement Moratorium.csv,12,Ne Laurelhurst Pl,42Nd Ave,43Rd Ave
Pavement Moratorium.csv,13,Nw Pettygrove St,Nw 24Th Ave,Nw 25Th Ave
Pavement Moratorium.csv,14,Ne Multnomah St,1St Ave,Mlk Jr Blvd
Pavement Moratorium.csv,15,N Multnomah St,Interstate Ave,1St Ave
Pavement Moratorium.csv,16,Se Belmont St,12Th Ave,Se 25Th Av
Pavement Moratorium.csv,17,Se Belmont St,49Th Ave,55Th Ave
Pavement Moratorium.csv,18,Se Water Ave,Alder St,Stark St
Pavement Moratorium.csv,19,Se Yamhill St,69Th Ave,76Th Ave
Pavement Moratorium.csv,20,Sw 14Th Ave,Jefferson St,196' N Of Morrison St (Struct)
Pavement Moratorium.csv,21,Sw 1St Ave,Yamhill St,Morrison St
Pavement Moratorium.csv,22,Sw Alder St,14Th Ave,Burnside St
Pavement Moratorium.csv,23,E Burnside St,44Th Ave,47Th Ave
Pavement Moratorium.csv,24,N Wheeler Ave,Winning Way,Weidler St
Pavement Moratorium.csv,25,Ne 16Th Dr,13Th Ave,Multnomah St
Pavement Moratorium.csv,26,Ne 41St Ave,Wistaria Dr,Fremont St
Pavement Moratorium.csv,27,Ne 47Th Ave,Halsey St,Sandy Blvd
Pavement Moratorium.csv,28,Ne Holladay St,9Th Ave,13Th Ave
Pavement Moratorium.csv,29,Ne Multnomah St,16Th Ave,21St Ave
Pavement Moratorium.csv,30,E Burnside St,32Nd Ave,Cesar E Chavez Blvd
Pavement Moratorium.csv,31,Ne Tillamook St,37Th Ave,43Rd Ave
Pavement Moratorium.csv,32,Se Morrison St,12Th Ave,19Th Ave
Pavement Moratorium.csv,33,Nw Everett St,23Rd Ave,19Th Ave
Pavement Moratorium.csv,34,Se Alder St,SE 3Rd Ave,SE Mlk Jr
Pavement Moratorium.csv,35,Ne Glisan St,Ne 67Th Ave,Ne 82Nd Ave
Pavement Moratorium.csv,36,Ne 28Th Ave - ,Ne Couch St,Ne Flanders St
Pavement Moratorium.csv,37,318 Sw 3Rd Ave,Sw Stark St,Sw Oak St
Pavement Moratorium.csv,40,Ne Cesar E Chavez Blvd,Ne Wasco St,Ne Senate St
Pavement Moratorium.csv,41,Ne Glisan St,Ne 24Th Ave,Ne 26Th Ave/Ne Buxton St
Pavement Moratorium.csv,42,N Larrabee Ave,N Interstate Ave,N Winning Way
