Task Name,Duration,Start,Finish
NE 122nd Ave: Stanton to Halsey,5 days,Mon 1/9/17,Fri 1/13/1
NE 102nd Ave: Burnside St to Weidler St,13 days,Mon 2/27/17,Wed 3/15/1
SE 17th Ave: Andover Pl to Clatsop St,2 days,Fri 2/3/17,Mon 2/6/1
SE Clinton St: 21st Ave to 26th Ave,3 days,Tue 2/7/17,Thu 2/9/1
"SW Jefferson St: 841'W of 20th Ave (N side) toPark Ave (W leg)",12 days,Fri 2/10/17,Mon 2/27/1
SW Morrison St: 18th Ave to 11th Ave,2 days,Tue 2/28/17,Wed 3/1/1
SW Arthur St: 3rd Ave to 241'E of 1st Ave,3 days,Wed 3/22/17,Fri 3/24/1
SW Caruthers St: 6th Ave to 3rd Ave,4 days,Thu 3/16/17,Tue 3/21/1
SE 46th Ave: Glenwood St to Woodstock Blvd,5 days,Mon 3/27/17,Fri 3/31/1
SE Sandy Blvd: Stark St to Burnside St,6 days,Wed 3/29/17,Wed 4/5/1
N Greeley Ave: Interstate Ave to Lombard St,40 days,Thu 4/6/17,Wed 5/31/1
"SW Beaverton-Hillsdale Hwy: 21st/Bertha Ct to39th",21 days,Thu 6/1/17,Thu 6/29/1
"N Columbia Blvd: Peninsular Ave to Interstate Pl.***shortened",14 days,Fri 6/30/17,Wed 7/19/1
SW Washington St: 9th Ave to 1st Ave,5 days,Thu 7/20/17,Wed 7/26/1
NW Glisan St: 11th Ave to Broadway,3 days,Thu 7/27/17,Mon 7/31/1
"",,,
FY 17/18,,,
NW 21st Ave: Marshall St to Thurman Ramp,5 days,Tue 8/1/17,Mon 8/7/1
NW 14th Ave: Burnside St to Northrup St,7 days,Tue 8/8/17,Wed 8/16/1
NW 21st Ave: Vaughn St to Sherlock Ave,3 days,Thu 8/17/17,Mon 8/21/1
NE 57th Ave: Halsey St to Fremont St,12 days,Tue 8/22/17,Wed 9/6/1
"N Rosa Parks Way: Willamette Blvd to DelawareAve",7 days,Thu 9/7/17,Fri 9/15/1
"N Rosa Parks Way: Interstate Ave to WilliamsAve",12 days,Mon 9/18/17,Tue 10/3/1
SE Tolman St: Bybee Blvd to 118'E of 36th Ave,6 days,Wed 10/4/17,Wed 10/11/1
N Williams Ave: Beech St to Jessup St,11 days,Thu 10/12/17,Thu 10/26/1
SE Harold St: 52nd Ave to Foster Rd,14 days,Fri 10/27/17,Wed 11/15/1
SE Harold St: 92nd Ave to 96th Ave,2 days,Thu 11/16/17,Fri 11/17/1
"SE Cesar Chavez blvd: Holgate Blvd to BurnsideSt",28 days,Mon 11/20/17,Wed 12/27/1
"N Willamette Blvd: 1041'W of Macrum Ave toWall Ave",5 days,Thu 12/28/17,Wed 1/3/1
N Albina: Prescott St to Ainsworth St,8 days,Thu 1/4/18,Mon 1/15/1
SE 27th Ave: Crystal Springs Blvd to Bybee Blvd,6 days,Tue 1/16/18,Tue 1/23/1
N Killingsworth St: Borthwick Ave to Williams Ave,4 days,Wed 1/24/18,Mon 1/29/1
N St. Louis Ave: Ivanhoe St to Pier Park Pl,7 days,Tue 1/30/18,Wed 2/7/1
NW Thurman St: 26th Ave to 15th Ave,8 days,Thu 2/8/18,Mon 2/19/1
