source_file_name,source_row_number,street,from_street,to_street,addid,addy_from,addy_to,rating_from,rating_to,geojson_from,geojson_to
Planned Fog Seal.csv,24,SE 3RD AVE,HAWTHORNE BLVD,TAYLOR ST,165,"1500 SE 3rd Ave, Portland, OR 97214","900 SW 3rd Ave, Portland, OR 97204",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.662806,45.512242]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.676259,45.516921]}"
Planned Fog Seal.csv,56,NE  19TH AVE,TILLAMOOK ST,THOMPSON ST,197,"2101 NE 19th Ave, Portland, OR 97212","2301 NE 19th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.64633,45.537437]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.64632,45.538969]}"
Planned Fog Seal.csv,57,NE  26TH AVE,BROADWAY,KNOTT ST,198,"1699 NE 26th Ave, Portland, OR 97232","2701 NE 26th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.639119,45.535161]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.639101,45.542054]}"
Planned Fog Seal.csv,58,NE  27TH AVE,BROADWAY,KNOTT ST,199,"1699 NE 27th Ave, Portland, OR 97232","2701 NE 27th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.638143,45.535161]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.638105,45.54205]}"
Planned Fog Seal.csv,60,NE  36TH AVE,100’ S of U.S. GRANT PL,U.S. GRANT PL,201,"","",-1,-1,,
Planned Fog Seal.csv,61,NE  14TH AVE,BROADWAY,KNOTT ST,202,"SW 14th Ave, Portland, OR","2701 NE 14th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.694304,45.50541]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.651453,45.542088]}"
Planned Fog Seal.csv,62,NE  30TH AVE,HANCOCK ST,KNOTT ST,203,"1901 NE 30th Ave, Portland, OR 97212","2701 NE 30th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.634991,45.53644]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.63502,45.54204]}"
Planned Fog Seal.csv,63,NE  53RD AVE,HALSEY ST,SACRAMENTO ST,204,"1501 NE 53rd Ave, Portland, OR 97213","2399 NE 53rd Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.608843,45.533725]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.608886,45.540018]}"
Planned Fog Seal.csv,64,NE  COUCH ST,28TH AVE,CESAR E CHAVEZ BLVD,205,"2799 NE Couch St, Portland, OR 97232","",3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.637248,45.523589]}",
Planned Fog Seal.csv,65,SE  56TH AVE,LINCOLN ST,HAWTHORNE BLVD,206,"2098 SE 56th Ave, Portland, OR 97215","1500 SE 56th Ave, Portland, OR 97215",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.605508,45.508055]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.60561,45.511754]}"
Planned Fog Seal.csv,66,NW  FLANDERS ST,21ST AVE,19TH AVE,207,"2100 NW Flanders St, Portland, OR 97210","1900 NW Flanders St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.694393,45.525587]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.690336,45.525661]}"
Planned Fog Seal.csv,67,SW  MONTGOMERY ST,HARBOR DR,RIVER DR,208,"101 SW Montgomery St, Portland, OR 97201","298 SW Montgomery St, Portland, OR 97201",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.675387,45.5098]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.674855,45.509667]}"
Planned Paving.csv,1,N Vancouver Ave,N Russell St,N Monroe St,209,"2601 N Vancouver Ave, Portland, OR 97227","3100 N Vancouver Ave, Portland, OR 97227",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.667928,45.541027]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.667968,45.545358]}"
Planned Paving.csv,2,Se Martin Luther King Jr Blvd,Se Mill St,Se Madison St,210,"1800 SE Martin Luther King Jr Blvd, Portland, OR 97214","SE Martin Luther King Jr Blvd, Portland, OR",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.661874,45.5101]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.661832,45.512979]}"
Planned Paving.csv,3,Sw 10Th Ave,Main St,Burnside St,211,"1098 SW 10th Ave, Portland, OR 97205","1 NW 10th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.683543,45.517343]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.681121,45.522976]}"
Planned Paving.csv,4,Nw 10Th Ave,Burnside St,Irving St,212,"1 NW 10th Ave, Portland, OR 97209","701 NW 10th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.681121,45.522976]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.681296,45.527961]}"
