source_file_name,source_row_number,street,from_street,to_street
G_P Schedule as of 1-5-2017.pdf,1,NE 122nd Ave, Stanton,Halsey
G_P Schedule as of 1-5-2017.pdf,2,NE 102nd Ave, Burnside St,Weidler St
G_P Schedule as of 1-5-2017.pdf,3,SE 17th Ave, Andover Pl,Clatsop St
G_P Schedule as of 1-5-2017.pdf,4,SE Clinton St, 21st Ave,26th Ave
G_P Schedule as of 1-5-2017.pdf,5,SW Jefferson St, 841'W of 20th Ave (N side),Park Ave (W leg)
G_P Schedule as of 1-5-2017.pdf,6,SW Morrison St, 18th Ave,11th Ave
G_P Schedule as of 1-5-2017.pdf,7,SW Arthur St, 3rd Ave,241'E of 1st Ave
G_P Schedule as of 1-5-2017.pdf,8,SW Caruthers St, 6th Ave,3rd Ave
G_P Schedule as of 1-5-2017.pdf,9,SE 46th Ave, Glenwood St,Woodstock Blvd
G_P Schedule as of 1-5-2017.pdf,10,SE Sandy Blvd, Stark St,Burnside St
G_P Schedule as of 1-5-2017.pdf,11,N Greeley Ave, Interstate Ave,Lombard St
G_P Schedule as of 1-5-2017.pdf,12,SW Beaverton-Hillsdale Hwy, 21st/Bertha Ct,39th
G_P Schedule as of 1-5-2017.pdf,13,N Columbia Blvd, Peninsular Ave,Interstate Pl. ***shortened
G_P Schedule as of 1-5-2017.pdf,14,SW Washington St, 9th Ave,1st Ave
G_P Schedule as of 1-5-2017.pdf,15,NW Glisan St, 11th Ave,Broadway
G_P Schedule as of 1-5-2017.pdf,18,NW 21st Ave, Marshall St,Thurman Ramp
G_P Schedule as of 1-5-2017.pdf,19,NW 14th Ave, Burnside St,Northrup St
G_P Schedule as of 1-5-2017.pdf,20,NW 21st Ave, Vaughn St,Sherlock Ave
G_P Schedule as of 1-5-2017.pdf,21,NE 57th Ave, Halsey St,Fremont St
G_P Schedule as of 1-5-2017.pdf,22,N Rosa Parks Way, Willamette Blvd,Delaware Ave
G_P Schedule as of 1-5-2017.pdf,23,N Rosa Parks Way, Interstate Ave,Williams Ave
G_P Schedule as of 1-5-2017.pdf,24,SE Tolman St, Bybee Blvd,118'E of 36th Ave
G_P Schedule as of 1-5-2017.pdf,25,N Williams Ave, Beech St,Jessup St
G_P Schedule as of 1-5-2017.pdf,26,SE Harold St, 52nd Ave,Foster Rd
G_P Schedule as of 1-5-2017.pdf,27,SE Harold St, 92nd Ave,96th Ave
G_P Schedule as of 1-5-2017.pdf,28,SE Cesar Chavez blvd, Holgate Blvd,Burnside St
G_P Schedule as of 1-5-2017.pdf,29,N Willamette Blvd, 1041'W of Macrum Ave,Wall Ave
G_P Schedule as of 1-5-2017.pdf,30,N Albina, Prescott St,Ainsworth St
G_P Schedule as of 1-5-2017.pdf,31,SE 27th Ave, Crystal Springs Blvd,Bybee Blvd
G_P Schedule as of 1-5-2017.pdf,32,N Killingsworth St, Borthwick Ave,Williams Ave
G_P Schedule as of 1-5-2017.pdf,33,N St. Louis Ave, Ivanhoe St,Pier Park Pl
G_P Schedule as of 1-5-2017.pdf,34,NW Thurman St, 26th Ave,15th Ave
