source_file_name,source_row_number,street,from_street,to_street
Pavement Moratorium.csv,1,Se 29Th Ave,Clay St,NA
Pavement Moratorium.csv,2,Sw Montgomery Dr,Clifton St,NA
Pavement Moratorium.csv,3,Ne 52Nd Ave,Clackamas St,Halsey St
Pavement Moratorium.csv,4,W Burnside St ,325' E Of Maywood Dr,503' E Of Maywood Rd
Pavement Moratorium.csv,5,W Burnside St ,Macleay Blvd,Maywood Dr
Pavement Moratorium.csv,6,Ne 15Th Ave ,Hancock St,NA
Pavement Moratorium.csv,7,Ne 9Th Ave ,Halsey St,Broadway
Pavement Moratorium.csv,8,Nw Glisan St - ,13Th Ave,11Th Ave
Pavement Moratorium.csv,9,Nw Thurman St,Gordon St,31St Ave
Pavement Moratorium.csv,10,Nw 16Th Ave,Lovejoy,Thurman St
Pavement Moratorium.csv,11,Sw Pine St,4Th Ave,Naito Pkwy
Pavement Moratorium.csv,12,Ne Laurelhurst Pl,42Nd Ave,43Rd Ave
Pavement Moratorium.csv,13,Nw Pettygrove St,Nw 24Th Ave,Nw 25Th Ave
Pavement Moratorium.csv,14,Ne Multnomah St,1St Ave,Mlk Jr Blvd
Pavement Moratorium.csv,15,N Multnomah St,Interstate Ave,1St Ave
Pavement Moratorium.csv,16,Se Belmont St,12Th Ave,Se 25Th Av
Pavement Moratorium.csv,17,Se Belmont St,49Th Ave,55Th Ave
Pavement Moratorium.csv,18,Se Water Ave,Alder St,Stark St
Pavement Moratorium.csv,19,Se Yamhill St,69Th Ave,76Th Ave
Pavement Moratorium.csv,20,Sw 14Th Ave,Jefferson St,196' N Of Morrison St (Struct)
Pavement Moratorium.csv,21,Sw 1St Ave,Yamhill St,Morrison St
Pavement Moratorium.csv,22,Sw Alder St,14Th Ave,Burnside St
Pavement Moratorium.csv,23,E Burnside St,44Th Ave,47Th Ave
Pavement Moratorium.csv,24,N Wheeler Ave,Winning Way,Weidler St
Pavement Moratorium.csv,25,Ne 16Th Dr,13Th Ave,Multnomah St
Pavement Moratorium.csv,26,Ne 41St Ave,Wistaria Dr,Fremont St
Pavement Moratorium.csv,27,Ne 47Th Ave,Halsey St,Sandy Blvd
Pavement Moratorium.csv,28,Ne Holladay St,9Th Ave,13Th Ave
Pavement Moratorium.csv,29,Ne Multnomah St,16Th Ave,21St Ave
Pavement Moratorium.csv,30,E Burnside St,32Nd Ave,Cesar E Chavez Blvd
Pavement Moratorium.csv,31,Ne Tillamook St,37Th Ave,43Rd Ave
Pavement Moratorium.csv,32,Se Morrison St,12Th Ave,19Th Ave
Pavement Moratorium.csv,33,Nw Everett St,23Rd Ave,19Th Ave
Pavement Moratorium.csv,34,Se Alder St,SE 3Rd Ave,SE Mlk Jr
Pavement Moratorium.csv,35,Ne Glisan St,Ne 67Th Ave,Ne 82Nd Ave
Pavement Moratorium.csv,36,Ne 28Th Ave - ,Ne Couch St,Ne Flanders St
Pavement Moratorium.csv,37,318 Sw 3Rd Ave,Sw Stark St,Sw Oak St
Pavement Moratorium.csv,38,Ne 8Th Ave- ,Ne Hancock St,NA
Pavement Moratorium.csv,39,1313 W Burnside St,NA,NA
Pavement Moratorium.csv,40,Ne Cesar E Chavez Blvd,Ne Wasco St,Ne Senate St
Pavement Moratorium.csv,41,Ne Glisan St,Ne 24Th Ave,Ne 26Th Ave/Ne Buxton St
Pavement Moratorium.csv,42,N Larrabee Ave,N Interstate Ave,N Winning Way
Pavement Moratorium.csv,43,Ne Wheeler Ave,N Interstate Ave,Ne Holladay St
Pavement Moratorium.csv,44,Ne 16Th Ave,E Burnside St,Ne Sandy Blvd
Pavement Moratorium.csv,45,3035-3055 Nw Rio Vista Ter,NA,NA
Pavement Moratorium.csv,46,Ne Stanton St,Ne 27Th Ave,Ne 28Th Ave
Pavement Moratorium.csv,47,Nw 21St Ave,Nw Sherlock Ave,Nw Front Ave
Pavement Moratorium.csv,48,Nw Pettygrove St,25Th Ave,24Th Ave
Pavement Moratorium.csv,49,Sw Columbia St,3Rd Ave,2Nd Ave
Pavement Moratorium.csv,50,Ne 41St Ave,Ne Couch St,Ne Davis St
Pavement Moratorium.csv,51,Ne 7Th Ave,Ne Multnomah St,Ne Weidler St
Pavement Moratorium.csv,52,Ne 28Th Ave,Glisan St,Broadway
Pavement Moratorium.csv,53,Ne Halsey St,60Th Ave,70Th Ave
Pavement Moratorium.csv,54,Nw Northrup St,23Rd Ave,14Th Ave
Pavement Moratorium.csv,55,Nw Broadway,Burnside St,Hoyt St
Pavement Moratorium.csv,56,Se 7Th Ave,Se Belmont St,Se Stark St
