source_file_name,source_row_number,street,from_street,to_street
Planned Fog Seal.csv,1,Se Main St,30Th Ave,32Nd Ave
Planned Fog Seal.csv,2,NW  24TH AVE,GLISAN ST,VAUGHN ST
Planned Fog Seal.csv,3,NW  SAVIER ST,28TH AVE,23RD AVE
Planned Fog Seal.csv,4,NW  QUIMBY ST,25TH AVE,23RD AVE
Planned Fog Seal.csv,5,NW  PETTYGROVE ST,26TH AVE,23RD AVE
Planned Fog Seal.csv,6,NW  OVERTON ST,21ST AVE,19TH AVE
Planned Fog Seal.csv,7,NW  20TH AVE,LOVEJOY SY,RALEIGH ST
Planned Fog Seal.csv,8,NW  17TH AVE,MARSHALL ST,NORTHRUP ST
Planned Fog Seal.csv,9,NW  JOHNSON ST,25TH AVE,23RD AVE
Planned Fog Seal.csv,10,NW  JOHNSON ST,15TH AVE,14TH AVE
Planned Fog Seal.csv,11,NW  JOHNSON ST,17TH AVE,16TH AVE
Planned Fog Seal.csv,12,NW  IRVING ST,241’ W of 24TH AVE,23RD AVE
Planned Fog Seal.csv,13,NW  HOYT ST,24TH AVE,23RD AVE
Planned Fog Seal.csv,14,NW  FLANDERS ST,18TH AVE,16TH AVE
Planned Fog Seal.csv,15,SE  30TH PL,PINE ST,BURNSIDE ST
Planned Fog Seal.csv,16,SE  9TH AVE,PINE ST,BURNSIDE ST
Planned Fog Seal.csv,17,SE  10TH AVE,ASH ST,BURNSIDE ST
Planned Fog Seal.csv,18,SE  13TH AVE,STARK ST,BURNSIDE ST
Planned Fog Seal.csv,19,SE  27TH AVE,STARK ST,ANKENY ST
Planned Fog Seal.csv,20,SE  PINE ST,CESAR E CHAVEZ BLVD,44TH AVE
Planned Fog Seal.csv,21,SE  OAK CT,41ST AVE,44TH AVE
Planned Fog Seal.csv,22,SE  WASHINGTON ST,41ST AVE,45TH AVE
Planned Fog Seal.csv,23,SE  YAMHILL ST,CESAR E CHAVEZ BLVD,45TH AVE
Planned Fog Seal.csv,24,SE 3RD AVE,HAWTHORNE BLVD,TAYLOR ST
Planned Fog Seal.csv,25,SE  36TH AVE,SALMON ST,YAMHILL ST
Planned Fog Seal.csv,26,SE  17TH AVE,HAWTHORNE BLVD,BELMONT ST
Planned Fog Seal.csv,27,SE  28TH AVE,HAWTHORNE BLVD,BELMONT ST
Planned Fog Seal.csv,28,SE  47TH AVE,SALMON ST,YAMHILL ST
Planned Fog Seal.csv,29,SE  9TH AVE,MAIN ST,BELMONT ST
Planned Fog Seal.csv,30,SE  32ND PL,HAWTHORNE BLVD,SALMON ST
Planned Fog Seal.csv,31,SE  56TH AVE,MADISON ST,SALMON ST
Planned Fog Seal.csv,32,SE  58TH AVE,LINCOLN ST,SALMON ST
Planned Fog Seal.csv,33,SE  MAPLE AVE,POPLAR AVE,16TH AVE
Planned Fog Seal.csv,34,SE  HOLLY ST,MAPLE AVE,POPLAR AVE
Planned Fog Seal.csv,35,SE  POPLAR AVE,16TH AVE,HAWTHORNE BLVD
Planned Fog Seal.csv,36,SE  LOCUST AVE,CYPRESS AVE,20TH AVE
Planned Fog Seal.csv,37,SE  16TH AVE,LADD AVE,POPLAR AVE
Planned Fog Seal.csv,38,SE  CYPRESS AVE,HARRISON ST,LOCUST ST
Planned Fog Seal.csv,39,SE  47TH AVE,LINCOLN ST,HARRISON ST
Planned Fog Seal.csv,40,SE  51ST AVE,LINCOLN ST,HAWTHORNE BLVD
Planned Fog Seal.csv,41,NE  45TH AVE,ALAMEDA ST,FREMONT ST
Planned Fog Seal.csv,42,NE  49TH AVE,ALAMEDA ST,FREMONT ST
Planned Fog Seal.csv,43,NE  50TH AVE,ALAMEDA ST,FREMONT ST
Planned Fog Seal.csv,44,NE  53RD AVE,ALAMEDA ST,FREMONT ST
Planned Fog Seal.csv,45,NE  54TH AVE,ALAMEDA ST,FREMONT ST
Planned Fog Seal.csv,46,NE  31ST AVE,KNOTT ST,FREMONT ST
Planned Fog Seal.csv,47,NE  32ND AVE,SISKIYOU ST,KLICKITAT ST
Planned Fog Seal.csv,48,NE  46TH AVE,ALAMEDA ST,FREMONT ST
Planned Fog Seal.csv,49,NE  48TH AVE,ALAMEDA ST,KLICKITAT ST
Planned Fog Seal.csv,50,NE  TILLAMOOK ST,WILLIAMS AVE,MARTIN LUTHER KING JR BLVD
Planned Fog Seal.csv,51,NE  12TH AVE,BROADWAY,KNOTT ST
Planned Fog Seal.csv,52,NE  16TH AVE,BROADWAY,KNOTT ST
Planned Fog Seal.csv,53,NE  17TH AVE,BROADWAY,KNOTT ST
Planned Fog Seal.csv,54,NE  18TH AVE,TILLAMOOK ST,KNOTT ST
Planned Fog Seal.csv,55,NE  TILLAMOOK ST,16TH AVE,30TH AVE
Planned Fog Seal.csv,56,NE  19TH AVE,TILLAMOOK ST,THOMPSON ST
Planned Fog Seal.csv,57,NE  26TH AVE,BROADWAY,KNOTT ST
Planned Fog Seal.csv,58,NE  27TH AVE,BROADWAY,KNOTT ST
Planned Fog Seal.csv,59,NE  35TH AVE,118’ S of U.S. GRANT PL,U.S. GRANT PL
Planned Fog Seal.csv,60,NE  36TH AVE,100’ S of U.S. GRANT PL,U.S. GRANT PL
Planned Fog Seal.csv,61,NE  14TH AVE,BROADWAY,KNOTT ST
Planned Fog Seal.csv,62,NE  30TH AVE,HANCOCK ST,KNOTT ST
Planned Fog Seal.csv,63,NE  53RD AVE,HALSEY ST,SACRAMENTO ST
Planned Fog Seal.csv,64,NE  COUCH ST,28TH AVE,CESAR E CHAVEZ BLVD
Planned Fog Seal.csv,65,SE  56TH AVE,LINCOLN ST,HAWTHORNE BLVD
Planned Fog Seal.csv,66,NW  FLANDERS ST,21ST AVE,19TH AVE
Planned Fog Seal.csv,67,SW  MONTGOMERY ST,HARBOR DR,RIVER DR
